tag,stemtag,dendroID,sp,census1,crown2,illum2,lianas2,dbh1,growth,original
5637,,491,jac1co,12,NA,NA,NA,808.1946272,-10.5727012,218
5607,,513,gustsu,8,4,2,2,291.1611355,-1.139768145,163
194104,,457,simaam,8,4,3,4,263.2040009,-0.784471197,22
180870,,489,jac1co,12,4,5,0,494.9822212,-0.760044488,206
5640,1,2179,lindla,2,4,2,NULL,318.3821866,-0.734496016,243
5894,,480,virosu,8,3,4,4,450.241128,-0.582701929,63
180850,,488,ingas1,4,4,1,NULL,143.4345145,-0.260882806,231
187212,,499,sponra,6,4,2,1,158.1324892,-0.252354834,130
187363,,500,faraoc,6,NULL,NULL,NULL,66.45757434,-0.189263365,142
263675,,8,virose,10,4,3,4,247.4148595,-0.188239059,7
187212,,499,sponra,10,2,3,4,158.0489686,-0.186619599,132
515101,,484,sponmo,6,1,2,0,135.9453366,-0.186533641,92
5607,,513,gustsu,2,4,1,NULL,290.8260295,-0.173782334,160
5838,2,2176,pri2co,2,4,2,NULL,339.7034285,-0.146913361,122
186401,,473,faraoc,8,4,3,4,146.1773433,-0.129567426,103
4522,,811,hirttr,4,4,3,NULL,246.1567767,-0.126685046,191
5607,,513,gustsu,4,4,3,NULL,290.6875271,-0.079209103,161
180302,,516,luehse,12,4,4,4,269.6697959,-0.075247049,183
180116,,511,luehse,2,3,1,NULL,131.7825096,-0.05814707,151
5607,,513,gustsu,10,3,2,2,290.2625976,-0.043508884,164
180116,,511,luehse,4,4,1,NULL,131.6802227,-0.035632813,152
700475,,1,cecrin,4,NULL,NULL,NULL,76.36709789,-0.0321154,2
515065,,482,sapiau,10,2,3,2,164.6405639,-0.031382868,88
180172,,515,alsebl,12,4,3,3,107.9614347,-0.027928459,177
187363,,500,faraoc,4,1,2,NULL,66.5285349,-0.019977416,141
180138,,512,tab2ar,10,4,4,4,237.6288361,-0.010538677,157
186401,,473,faraoc,12,3,2,2,146.2534579,-0.004152475,105
180172,,515,alsebl,6,4,3,3,107.78219,-0.003306785,174
700475,,1,cecrin,2,1,2,NULL,76.32808929,0.006645121,1
