"JDate","SR","RH","AT","PR"
16802,16232.57,84.1322916666667,25.3479166666667,0
16803,17843.4,89.0833333333333,24.2770833333333,0.762
16804,12061.64,88.2416666666667,23.746875,1.778
16805,13443.65,88.93125,24.1291666666667,6.858
16806,19730.18,84.1916666666667,24.6447916666667,2.032
16807,14184.55,89.6947916666667,23.153125,5.588
16808,10535.15,87.6447916666667,23.0635416666667,8.89
16809,14502.34,85.6072916666667,23.625,2.032
16810,18768.15,77.99375,24.8364583333333,0
16811,22124.64,78.690625,25.296875,0
16812,21285.49,81.7145833333333,24.303125,0
16813,20135.41,83.3375,24.4604166666667,0
16814,21391.8,81.665625,25.29375,0
16815,18226.04,83.7697916666667,25.2895833333333,0
16816,20904.91,82.9583333333333,25.5427083333333,0
16817,20360.53,81.6947916666667,25.4729166666667,0
16818,17839.11,87.0864583333333,25.146875,0
16819,20592.25,83.03125,25.4479166666667,0
16820,19098.45,80.3552083333333,25.2260416666667,0
16821,20474.88,78.3125,25.178125,0
16822,21538.48,79.146875,25.48125,0
16823,22732.15,84.0135416666667,25.315625,0
16824,16489.98,88.221875,25.4541666666667,0
16825,22348.55,84.1895833333333,25.8635416666667,0
16826,20244.15,84.2697916666667,25.7177083333333,0
16827,15251.1,84.346875,25.8708333333333,0
16828,13531.87,87.1989583333333,25.4427083333333,2.794
16829,18748.45,81.4760416666667,25.6395833333333,0
16830,16503.22,83.240625,25.6541666666667,0
16831,13160.91,86.5,25.3510416666667,0.508
16832,14805.41,84.953125,25.2770833333333,0
16833,17864.82,80.3697916666667,25.1010416666667,0
16834,14941.31,85.0010416666667,24.5875,1.778
16835,19942.62,89.81875,24.3552083333333,0.762
16836,13921.3,90.1822916666667,24.5552083333333,0
16837,7039.44,95.10625,23.959375,9.906
16838,22867,82.0947916666667,24.5989583333333,0.254
16839,23701.2,78.978125,25.1104166666667,0
16840,24009.99,76.953125,24.909375,0
16841,24474,78.70625,24.9635416666667,0
16842,22489.64,78.0947916666667,24.840625,0
16843,13286.98,87.6239583333333,23.7572916666667,5.842
16844,20077.99,85.5833333333333,24.3864583333333,0.254
16845,22435.49,74.7885416666667,24.9802083333333,0
16846,17061.68,84.1645833333333,24.1520833333333,3.048
16847,22326.89,75.6552083333333,25.3510416666667,0.254
16848,23714.11,80.7385416666667,25.1020833333333,0
16849,24624.23,79.7541666666667,25.384375,0
16850,17582.12,77.9802083333333,25.5958333333333,0
16851,24008.15,76.2114583333333,25.10625,1.27
16852,24047.46,74.2135416666667,25.234375,0.254
16853,22626.49,79.259375,24.8635416666667,0
16854,23598.8,79.6427083333333,25.409375,0
16855,22297.24,81.4083333333333,25.3229166666667,0
16856,17899.23,80.6145833333333,24.8625,0.254
16857,17628.83,78.5989583333333,24.7510416666667,1.778
16858,24399.72,81.2489583333333,24.8583333333333,0.762
16859,25192.43,82.8864583333333,24.4083333333333,4.064
16860,10733.52,87.9635416666667,23.5197916666667,9.398
16861,24727.6,80.2864583333333,24.8635416666667,0
16862,21238.03,83.3791666666667,24.8645833333333,0
16863,23965.55,85.940625,24.9083333333333,0
16864,23051.48,83.9875,25.0260416666667,0
16865,16846.03,79.828125,24.7666666666667,0
16866,19114.72,79.8479166666667,24.6083333333333,0
16867,24242.17,77.278125,24.859375,0
16868,25206.5,76.1572916666667,24.8895833333333,0
16869,23623.78,77.275,24.659375,0
16870,26094.7,82.3322916666667,25.115625,0
16871,22063.85,81.2885416666667,25.146875,0
16872,25228.36,77.6489583333333,25.3833333333333,0
16873,26518.93,77.1916666666667,25.01875,0
16874,25831.59,79.3802083333333,24.8927083333333,0
16875,24838.8,79.1270833333333,24.7739583333333,0
16876,25141.14,80.7510416666667,24.8666666666667,0
16877,22631.05,80.16875,24.9833333333333,0
16878,24818.51,78.3145833333333,24.828125,0
16879,25603.91,76.2010416666667,24.5302083333333,0
16880,23884.2,79.7645833333333,24.35,0
16881,23615.09,85.39375,24.7052083333333,0
16882,22665.4,85.7989583333333,24.8104166666667,0
16883,16569.38,96.215625,22.9697916666667,0
16884,8437.05,99.2614583333333,20.1815789473684,0
16885,16140.07,100,24.3,0
16886,23085.56,100,23.4854166666667,0
16887,14330.6,100,23.7697916666667,0
16888,8764.57,100,21.884375,0
16889,19971.54,100,24.0635416666667,0
16890,22265.5,100,24.2614583333333,0
16891,20996.5,100,24.0927083333333,0
